№;Название;Где лежит
1;Асфальт с трещинами;01_ПОКРЫТИЯ_И_РЕЛЬСЫ/asphalt_cracked_v*.png
2;Брусчатка;01_ПОКРЫТИЯ_И_РЕЛЬСЫ/paving_old_v*.png
3;Лужа с отражением;01_ПОКРЫТИЯ_И_РЕЛЬСЫ/puddle_reflection_v*.png
4;Трамвайные пути;01_ПОКРЫТИЯ_И_РЕЛЬСЫ/tram_rails_v*.png
5;Уличный фонарь;02_ФОНАРИ_СКАМЕЙКИ_УРНЫ_КОНТЕЙНЕРЫ/street_lamp_v*.png
6;Провода между домами;03_ПРОВОДА_БУДКИ_ПОЧТА_СТОЛБЫ_ДВЕРИ/overhead_wires_v*.png
7;Скамейка;02_ФОНАРИ_СКАМЕЙКИ_УРНЫ_КОНТЕЙНЕРЫ/bench_old_v*.png
8;Урна;02_ФОНАРИ_СКАМЕЙКИ_УРНЫ_КОНТЕЙНЕРЫ/bin_metal_v*.png
9;Мусорный контейнер;02_ФОНАРИ_СКАМЕЙКИ_УРНЫ_КОНТЕЙНЕРЫ/dumpster_v*.png
10;Телефонная будка;03_ПРОВОДА_БУДКИ_ПОЧТА_СТОЛБЫ_ДВЕРИ/phone_booth_v*.png
11;Почтовый ящик;03_ПРОВОДА_БУДКИ_ПОЧТА_СТОЛБЫ_ДВЕРИ/mailbox_blue_v*.png
12;Газетный киоск;04_КИОСКИ_ОСТАНОВКИ_БАЛКОНЫ_ВЫВЕСКИ/news_kiosk_v*.png
13;Остановка автобуса;04_КИОСКИ_ОСТАНОВКИ_БАЛКОНЫ_ВЫВЕСКИ/bus_stop_v*.png
14;Объявления на столбе;03_ПРОВОДА_БУДКИ_ПОЧТА_СТОЛБЫ_ДВЕРИ/poster_pole_v*.png
15;Дверь подъезда;03_ПРОВОДА_БУДКИ_ПОЧТА_СТОЛБЫ_ДВЕРИ/entrance_door_v*.png
16;Балконы;04_КИОСКИ_ОСТАНОВКИ_БАЛКОНЫ_ВЫВЕСКИ/balcony_old_v*.png
17;Дерево;05_РАСТИТЕЛЬНОСТЬ_КЛУМБЫ_ЗАБОРЫ/autumn_tree_v*.png
18;Кусты;05_РАСТИТЕЛЬНОСТЬ_КЛУМБЫ_ЗАБОРЫ/bush_v*.png
19;Клумба;05_РАСТИТЕЛЬНОСТЬ_КЛУМБЫ_ЗАБОРЫ/flower_bed_v*.png
20;Забор;05_РАСТИТЕЛЬНОСТЬ_КЛУМБЫ_ЗАБОРЫ/metal_fence_v*.png
21;Припаркованная машина 2000-х;06_МАШИНЫ_ВЕЛОСИПЕДЫ_ГАРАЖИ/car_2000s_v*.png
22;Велосипед у стены;06_МАШИНЫ_ВЕЛОСИПЕДЫ_ГАРАЖИ/bicycle_old_v*.png
23;Гаражи;06_МАШИНЫ_ВЕЛОСИПЕДЫ_ГАРАЖИ/garage_metal_v*.png
24;Детская площадка;07_ПЛОЩАДКА_ГОЛУБИ_КОТЫ_СОБАКИ/playground_*.png
25;Голуби;07_ПЛОЩАДКА_ГОЛУБИ_КОТЫ_СОБАКИ/pigeons_v*.png
26;Уличный кот;07_ПЛОЩАДКА_ГОЛУБИ_КОТЫ_СОБАКИ/street_cat_v*.png
27;Собака на поводке;07_ПЛОЩАДКА_ГОЛУБИ_КОТЫ_СОБАКИ/dog_leash_v*.png
28;Снег/грязь зимой;01_ПОКРЫТИЯ_И_РЕЛЬСЫ/dirty_snow_v*.png + 10_ЗИМА_ДОПОЛНИТЕЛЬНО
29;Вывеска магазина;04_КИОСКИ_ОСТАНОВКИ_БАЛКОНЫ_ВЫВЕСКИ/shop_sign_blank_v*.png + 08_...
30;Граффити на стене;08_ВЫВЕСКИ_ГРАФФИТИ_ОБЪЯВЛЕНИЯ_СТЕНЫ/graffiti_wall_v*.png
